Date,ppm
1/24/1981,339.37
1/31/1981,339.57
2/7/1981,340.59
2/14/1981,340.06
2/21/1981,340.22
2/28/1981,341.12
3/7/1981,340.75
3/14/1981,341.06
3/21/1981,341.91
3/28/1981,342.21
4/4/1981,342.44
4/11/1981,342.51
4/18/1981,342.8
4/25/1981,342.32
5/2/1981,342.96
5/9/1981,343.02
5/16/1981,342.82
5/23/1981,342.72
5/30/1981,342.77
6/6/1981,342.66
6/13/1981,342.56
6/20/1981,341.83
6/27/1981,341.66
7/4/1981,341.07
7/11/1981,340.89
7/18/1981,339.78
7/25/1981,340.23
8/1/1981,339.58
8/8/1981,338.94
8/15/1981,338.5
8/22/1981,337.59
8/29/1981,337.75
9/5/1981,337.22
9/12/1981,337.05
9/19/1981,336.77
9/26/1981,335.97
10/3/1981,336.32
10/10/1981,336.67
10/17/1981,337.15
10/24/1981,337.24
10/31/1981,337.58
11/7/1981,337.89
11/14/1981,338.16
11/21/1981,338.59
11/28/1981,339.32
12/5/1981,339.31
12/12/1981,339.43
12/19/1981,339.67
12/26/1981,340.25
1/2/1982,340.3
1/9/1982,340.41
1/16/1982,340.74
1/23/1982,341.15
1/30/1982,341.31
2/6/1982,341.96
2/13/1982,341.13
2/20/1982,341.16
2/27/1982,342.21
3/6/1982,342.68
3/13/1982,342.63
3/20/1982,342.8
3/27/1982,342.83
4/3/1982,342.98
4/10/1982,343.32
4/17/1982,343.52
4/24/1982,344.31
5/1/1982,343.85
5/8/1982,343.7
5/15/1982,344.31
5/22/1982,344.12
5/29/1982,344.12
6/5/1982,343.5
6/12/1982,343.52
6/19/1982,343.48
6/26/1982,342.93
7/3/1982,342.55
7/10/1982,342.05
7/17/1982,342.04
7/24/1982,341.83
7/31/1982,341.33
8/7/1982,340.59
8/14/1982,340.08
8/21/1982,339.73
8/28/1982,338.34
9/4/1982,338.9
9/11/1982,338.63
9/18/1982,337.86
9/25/1982,336.94
10/2/1982,337.34
10/9/1982,338.11
10/16/1982,337.62
10/23/1982,337.96
10/30/1982,338.72
11/6/1982,338.51
11/13/1982,339.22
11/20/1982,339.74
11/27/1982,339.9
12/4/1982,339.88
12/11/1982,340.45
12/18/1982,340.73
12/25/1982,340.84
1/1/1983,340.96
1/8/1983,341.46
1/15/1983,341.59
1/22/1983,341.27
1/29/1983,341.74
